time,barrier_z,soliton_z,gamma
38.4,-9.999858589584056,-2.095319,1.8
38.6,-9.999864050419497,-2.0208995,1.8
38.800000000000004,-9.999870394103668,-1.9662127,1.8
39.0,-9.999877565067505,-1.9615809,1.8
39.2,-9.999885501521819,-1.9020791,1.8
39.4,-9.999894136001346,-1.8080605,1.8
39.6,-9.99990339593617,-1.7150466,1.8
39.800000000000004,-9.999913204272943,-1.5970291,1.8
0.0,-10.0,-9.999923,1.9
0.2,-9.99999997581023,-9.96968,1.9
0.4,-9.999999807807223,-9.9394245,1.9
0.6,-9.999999354628233,-9.909126,1.9
0.8,-9.999998477672728,-9.878782,1.9
1.0,-9.999997057535797,-9.864891,1.9
1.2,-9.999995028751151,-9.840035,1.9
1.4000000000000001,-9.999992307695246,-9.816872,1.9
1.6,-9.99998881830251,-9.791754,1.9
1.8,-9.999984493376042,-9.768126,1.9
2.0,-9.99997927557011,-9.743182,1.9
2.2,-9.999973117667972,-9.718599,1.9
2.4,-9.999965984023344,-9.6941,1.9
2.6,-9.99995785128869,-9.669018,1.9
2.8000000000000003,-9.99994870863854,-9.644537,1.9
3.0,-9.99993855813464,-9.619286,1.9
3.2,-9.999927414375168,-9.594554,1.9
3.4,-9.999915304676014,-9.569265,1.9
3.6,-9.999902268671258,-9.544185,1.9
3.8000000000000003,-9.999888358229507,-9.518785,1.9
4.0,-9.999873636979096,-9.493155,1.9
4.2,-9.999858179864097,-9.466473,1.9
4.4,-9.999842072507453,-9.435144,1.9
4.6000000000000005,-9.999825410404783,-9.393572,1.9
4.8,-9.999808298083318,-9.338606,1.9
5.0,-9.999790848024865,-9.278501,1.9
5.2,-9.99977317962607,-9.220045,1.9
5.4,-9.99975541795025,-9.163039,1.9
5.6000000000000005,-9.99973769252763,-9.107924,1.9
5.8,-9.999720136014853,-9.055332,1.9
6.0,-9.999702882888347,-9.004979,1.9
6.2,-9.999686068087783,-8.956562,1.9
6.4,-9.999669825663323,-8.9104595,1.9
6.6000000000000005,-9.999654287454653,-8.869121,1.9
6.8,-9.99963958177409,-8.833885,1.9
7.0,-9.999625832174903,-8.798836,1.9
7.2,-9.999613156220938,-8.761268,1.9
7.4,-9.999601664362714,-8.736798,1.9
7.6000000000000005,-9.999591458855173,-8.700107,1.9
7.8,-9.99958263278999,-8.66478,1.9
8.0,-9.999575269200015,-8.631057,1.9
8.2,-9.99956944027794,-8.588922,1.9
8.4,-9.99956520669628,-8.551571,1.9
8.6,-9.999562617026099,-8.5097275,1.9
8.8,-9.99956170728636,-8.463334,1.9
9.0,-9.999562500587047,-8.426735,1.9
9.200000000000001,-9.999565006907877,-8.372231,1.9
9.4,-9.999569222978383,-8.333417,1.9
9.6,-9.999575132289568,-8.28657,1.9
9.8,-9.999582705199526,-8.230786,1.9
10.0,-9.999591899152255,-8.191716,1.9
10.200000000000001,-9.99960265901266,-8.143676,1.9
10.4,-9.999614917524264,-8.084258,1.9
10.6,-9.999628595895135,-8.041061,1.9
10.8,-9.99964360447336,-8.000587,1.9
11.0,-9.999659843509798,-7.942666,1.9
11.200000000000001,-9.999677203982571,-7.8861094,1.9
11.4,-9.99969556849512,-7.8472257,1.9
11.6,-9.9997148122385,-7.8099747,1.9
11.8,-9.999734804015871,-7.7552195,1.9
12.0,-9.999755407313627,-7.696657,1.9
12.200000000000001,-9.999776481405187,-7.6511583,1.9
12.4,-9.999797882481435,-7.6210475,1.9
12.6,-9.999819464789384,-7.583066,1.9
12.8,-9.999841081788277,-7.528731,1.9
13.0,-9.99986258729931,-7.4741116,1.9
13.200000000000001,-9.999883836656853,-7.428396,1.9
13.4,-9.999904687836537,-7.391298,1.9
13.6,-9.999925002557786,-7.357361,1.9
13.8,-9.999944647355786,-7.3153067,1.9
14.0,-9.999963494604152,-7.2653856,1.9
14.200000000000001,-9.9999814234824,-7.2121572,1.9
14.4,-9.999998320885213,-7.1621137,1.9
14.6,-10.00001408226575,-7.1199245,1.9
14.8,-10.000028612398456,-7.083425,1.9
15.0,-10.000041826073229,-7.051291,1.9
15.200000000000001,-10.000053648704668,-7.0141783,1.9
15.4,-10.00006401685786,-6.9712605,1.9
15.6,-10.000072878676827,-6.9260817,1.9
15.8,-10.000080194220137,-6.8787374,1.9
16.0,-10.000085935696362,-6.8394656,1.9
16.2,-10.000090087599114,-6.799443,1.9
16.4,-10.000092646750677,-6.768242,1.9
16.6,-10.000093622244094,-6.760811,1.9
16.8,-10.000093035285238,-6.733056,1.9
17.0,-10.000090918941027,-6.6981225,1.9
17.2,-10.000087317797934,-6.6774416,1.9
17.400000000000002,-10.000082287524263,-6.6418805,1.9
17.6,-10.000075894353627,-6.602784,1.9
17.8,-10.000068214487131,-6.561342,1.9
18.0,-10.000059333421275,-6.5338125,1.9
18.2,-10.00004934520665,-6.5048265,1.9
18.400000000000002,-10.000038351637054,-6.5043907,1.9
18.6,-10.00002646139183,-6.465438,1.9
18.8,-10.000013789130389,-6.4511437,1.9
19.0,-10.000000454535854,-6.432718,1.9
19.2,-9.999986581339272,-6.427759,1.9
19.400000000000002,-9.999972296321976,-6.388874,1.9
19.6,-9.999957728299247,-6.360038,1.9
19.8,-9.999943007086188,-6.334361,1.9
20.0,-9.999928262465648,-6.299666,1.9
20.2,-9.999913623161639,-6.2665586,1.9
20.400000000000002,-9.99989921582673,-6.230938,1.9
20.6,-9.999885164057025,-6.2001095,1.9
20.8,-9.999871587438111,-6.1748004,1.9
21.0,-9.999858600628066,-6.145215,1.9
21.2,-9.99984631248274,-6.1304364,1.9
21.400000000000002,-9.999834825240335,-6.099493,1.9
21.6,-9.99982423376304,-6.088411,1.9
21.8,-9.999814624845337,-6.060113,1.9
22.0,-9.999806076585942,-6.0469136,1.9
22.2,-9.999798657838127,-6.036382,1.9
22.400000000000002,-9.999792427735677,-5.9903274,1.9
22.6,-9.999787435304333,-5.98047,1.9
22.8,-9.999783719156776,-5.9336195,1.9
23.0,-9.999781307260058,-5.9110875,1.9
23.2,-9.999780216788189,-5.878205,1.9
23.400000000000002,-9.999780454068588,-5.8383045,1.9
23.6,-9.999782014615663,-5.798422,1.9
23.8,-9.999784883256016,-5.7527637,1.9
24.0,-9.999789034337518,-5.7119823,1.9
24.2,-9.999794432009493,-5.673244,1.9
